Student Name,College / University Name,Degree,Specialization,Graduation Year,Location,Skills,Certifications,Internship Experience,LinkedIn Profile URL
Rahul Reddy,NMIMS Mumbai,MBA,Marketing,2025,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,None,https://www.linkedin.com/in/rahul-reddy-399
Meera Nair,NMIMS Mumbai,BBA,Marketing,2024,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Business Analyst Intern at PwC (4 Months),https://www.linkedin.com/in/meera-nair-478
Sneha Sharma,Delhi University,MBA,Management Consulting,2026,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Financial Analyst Intern at PwC (4 Months),https://www.linkedin.com/in/sneha-sharma-402
Amit Gupta,Christ University,MBA,Operations & Supply Chain,2025,"Pune, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,None,https://www.linkedin.com/in/amit-gupta-121
Meera Reddy,FMS Delhi,MBA,Management Consulting,2027,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Marketing Intern at Amazon (5 Months),https://www.linkedin.com/in/meera-reddy-128
Meera Singh,Delhi University,MBA,Operations & Supply Chain,2027,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Marketing Intern at Flipkart (6 Months),https://www.linkedin.com/in/meera-singh-730
Rohan Verma,Shaheed Sukhdev College of Business Studies,BBA,Finance,2025,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Financial Analyst Intern at Amazon (6 Months),https://www.linkedin.com/in/rohan-verma-364
Amit Singh,FMS Delhi,BBA,Data Analytics,2027,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Marketing Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/amit-singh-940
Gaurav Sharma,Christ University,MBA,Human Resources,2026,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Business Analyst Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/gaurav-sharma-764
Sneha Sharma,SPJIMR Mumbai,BBA,Digital Marketing,2026,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Operations Consultant Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/sneha-sharma-902
Aarav Das,Shaheed Sukhdev College of Business Studies,MBA,Finance,2024,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/aarav-das-546
Riya Mehta,Symbiosis International University,MBA,Human Resources,2026,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Marketing Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/riya-mehta-965
Rahul Nair,Symbiosis International University,BBA,General Management,2025,Delhi NCR,"Business Strategy, Leadership, Financial Accounting, Operations Management",None,Financial Analyst Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/rahul-nair-493
Siddharth Gupta,Shaheed Sukhdev College of Business Studies,BBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Business Analyst Intern at Deloitte (4 Months),https://www.linkedin.com/in/siddharth-gupta-676
Riya Gupta,Delhi University,BBA,Digital Marketing,2026,"Hyderabad, Telangana","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Operations Consultant Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/riya-gupta-784
Amit Singh,Shaheed Sukhdev College of Business Studies,MBA,Management Consulting,2024,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/amit-singh-492
Sneha Das,Shaheed Sukhdev College of Business Studies,MBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at Flipkart (6 Months),https://www.linkedin.com/in/sneha-das-586
Amit Sen,NMIMS Mumbai,MBA,Finance,2025,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Business Analyst Intern at Flipkart (2 Months),https://www.linkedin.com/in/amit-sen-899
Amit Sen,Delhi University,MBA,Operations & Supply Chain,2026,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,HR Generalist Intern at KPMG (3 Months),https://www.linkedin.com/in/amit-sen-563
Kriti Singh,NMIMS Mumbai,MBA,Human Resources,2026,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,None,https://www.linkedin.com/in/kriti-singh-203
Sneha Sharma,IIM Ahmedabad,MBA,Human Resources,2027,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Marketing Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/sneha-sharma-960
Rahul Sharma,FMS Delhi,MBA,Finance,2025,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at Flipkart (5 Months),https://www.linkedin.com/in/rahul-sharma-909
Arjun Reddy,IIM Calcutta,BBA,Finance,2026,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,HR Generalist Intern at PwC (5 Months),https://www.linkedin.com/in/arjun-reddy-981
Diya Gupta,SPJIMR Mumbai,MBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Operations Consultant Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/diya-gupta-158
Pooja Joshi,Symbiosis International University,MBA,Business Analytics,2025,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Business Analyst Intern at PwC (6 Months),https://www.linkedin.com/in/pooja-joshi-130
Isha Chawla,SPJIMR Mumbai,MBA,Management Consulting,2026,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/isha-chawla-120
Isha Sen,Symbiosis International University,MBA,Management Consulting,2024,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,HR Generalist Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/isha-sen-804
Amit Nair,Shaheed Sukhdev College of Business Studies,MBA,Management Consulting,2027,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Financial Analyst Intern at Reliance Industries (5 Months),https://www.linkedin.com/in/amit-nair-333
Rohan Mishra,Delhi University,MBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/rohan-mishra-269
Isha Das,Delhi University,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/isha-das-696
Aarav Reddy,IIM Calcutta,MBA,Management Consulting,2026,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Financial Analyst Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/aarav-reddy-220
Ananya Sen,XLRI Jamshedpur,MBA,Human Resources,2027,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/ananya-sen-984
Gaurav Gupta,Symbiosis International University,MBA,Business Analytics,2027,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,None,https://www.linkedin.com/in/gaurav-gupta-609
Rohan Mehta,XLRI Jamshedpur,MBA,Human Resources,2027,"Pune, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Business Analyst Intern at KPMG (3 Months),https://www.linkedin.com/in/rohan-mehta-337
Diya Sharma,IIM Calcutta,BBA,General Management,2024,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Marketing Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/diya-sharma-468
Amit Kapoor,Christ University,MBA,Management Consulting,2025,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/amit-kapoor-135
Rohan Das,IIM Calcutta,MBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),Marketing Intern at EY (3 Months),https://www.linkedin.com/in/rohan-das-739
Diya Verma,Delhi University,MBA,Finance,2027,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,HR Generalist Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/diya-verma-758
Vikram Patel,IIM Bangalore,MBA,Management Consulting,2026,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/vikram-patel-677
Meera Nair,Symbiosis International University,MBA,Human Resources,2027,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at PwC (6 Months),https://www.linkedin.com/in/meera-nair-979
Meera Patel,IIM Calcutta,BBA,Finance,2024,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),HR Generalist Intern at Deloitte (2 Months),https://www.linkedin.com/in/meera-patel-747
Rohan Singh,IIM Bangalore,MBA,Marketing,2025,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Business Analyst Intern at KPMG (6 Months),https://www.linkedin.com/in/rohan-singh-302
Rahul Nair,Symbiosis International University,MBA,Finance,2026,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at Reliance Industries (5 Months),https://www.linkedin.com/in/rahul-nair-734
Riya Mehta,XLRI Jamshedpur,MBA,Management Consulting,2026,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/riya-mehta-400
Aarav Reddy,IIM Ahmedabad,BBA,Digital Marketing,2027,"Hyderabad, Telangana","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,HR Generalist Intern at KPMG (2 Months),https://www.linkedin.com/in/aarav-reddy-678
Tanvi Joshi,IIM Ahmedabad,BBA,Marketing,2025,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Business Analyst Intern at Reliance Industries (3 Months),https://www.linkedin.com/in/tanvi-joshi-198
Diya Gupta,NMIMS Mumbai,BBA,Data Analytics,2027,"Pune, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",None,Marketing Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/diya-gupta-982
Siddharth Joshi,Delhi University,BBA,Marketing,2024,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Operations Consultant Intern at EY (6 Months),https://www.linkedin.com/in/siddharth-joshi-871
Rohan Gupta,Christ University,MBA,Business Analytics,2025,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Operations Consultant Intern at HDFC Bank (4 Months),https://www.linkedin.com/in/rohan-gupta-706
Rahul Gupta,SPJIMR Mumbai,MBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,None,https://www.linkedin.com/in/rahul-gupta-341
Rohan Verma,IIM Bangalore,BBA,Marketing,2027,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Financial Analyst Intern at Deloitte (5 Months),https://www.linkedin.com/in/rohan-verma-106
Isha Mehta,SPJIMR Mumbai,BBA,Data Analytics,2024,Delhi NCR,"SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,None,https://www.linkedin.com/in/isha-mehta-863
Arjun Sharma,XLRI Jamshedpur,BBA,General Management,2024,"Hyderabad, Telangana","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Marketing Intern at Amazon (4 Months),https://www.linkedin.com/in/arjun-sharma-247
Vikram Mishra,IIM Calcutta,BBA,General Management,2024,"Pune, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",None,Financial Analyst Intern at Amazon (5 Months),https://www.linkedin.com/in/vikram-mishra-388
Aditya Verma,Christ University,BBA,General Management,2027,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),HR Generalist Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/aditya-verma-545
Amit Das,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2024,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Marketing Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/amit-das-411
Arjun Nair,NMIMS Mumbai,MBA,Operations & Supply Chain,2024,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Marketing Intern at EY (6 Months),https://www.linkedin.com/in/arjun-nair-116
Gaurav Chawla,Shaheed Sukhdev College of Business Studies,BBA,General Management,2025,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,HR Generalist Intern at KPMG (3 Months),https://www.linkedin.com/in/gaurav-chawla-660
Ananya Das,Delhi University,MBA,Business Analytics,2024,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,None,https://www.linkedin.com/in/ananya-das-974
Sneha Nair,XLRI Jamshedpur,BBA,Data Analytics,2026,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Financial Analyst Intern at EY (6 Months),https://www.linkedin.com/in/sneha-nair-245
Aarav Gupta,SPJIMR Mumbai,MBA,Business Analytics,2026,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,None,https://www.linkedin.com/in/aarav-gupta-710
Arjun Verma,Delhi University,MBA,Marketing,2025,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,None,https://www.linkedin.com/in/arjun-verma-481
Sneha Gupta,Delhi University,MBA,Business Analytics,2027,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Operations Consultant Intern at Flipkart (4 Months),https://www.linkedin.com/in/sneha-gupta-754
Rohan Das,IIM Bangalore,MBA,Business Analytics,2026,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Business Analyst Intern at EY (6 Months),https://www.linkedin.com/in/rohan-das-771
Pooja Gupta,XLRI Jamshedpur,MBA,Management Consulting,2024,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/pooja-gupta-908
Diya Singh,FMS Delhi,BBA,Finance,2026,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Marketing Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/diya-singh-948
Tanvi Mishra,SPJIMR Mumbai,MBA,Management Consulting,2024,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/tanvi-mishra-901
Aarav Chawla,FMS Delhi,MBA,Human Resources,2026,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at Amazon (5 Months),https://www.linkedin.com/in/aarav-chawla-206
Diya Patel,IIM Calcutta,BBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),None,https://www.linkedin.com/in/diya-patel-595
Isha Mehta,IIM Bangalore,BBA,Marketing,2026,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Financial Analyst Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/isha-mehta-366
Riya Mishra,IIM Ahmedabad,MBA,Marketing,2027,"Hyderabad, Telangana","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Business Analyst Intern at Amazon (6 Months),https://www.linkedin.com/in/riya-mishra-532
Isha Kapoor,Christ University,BBA,General Management,2027,"Mumbai, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Business Analyst Intern at Flipkart (3 Months),https://www.linkedin.com/in/isha-kapoor-152
Siddharth Sen,SPJIMR Mumbai,MBA,Business Analytics,2026,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,None,https://www.linkedin.com/in/siddharth-sen-951
Diya Gupta,Symbiosis International University,MBA,Operations & Supply Chain,2027,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,None,https://www.linkedin.com/in/diya-gupta-388
Siddharth Mehta,Symbiosis International University,BBA,Marketing,2025,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Marketing Intern at EY (5 Months),https://www.linkedin.com/in/siddharth-mehta-968
Arjun Chawla,IIM Calcutta,MBA,Operations & Supply Chain,2027,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Financial Analyst Intern at Deloitte (4 Months),https://www.linkedin.com/in/arjun-chawla-141
Sneha Sharma,FMS Delhi,MBA,Finance,2025,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Business Analyst Intern at Deloitte (4 Months),https://www.linkedin.com/in/sneha-sharma-553
Isha Nair,IIM Bangalore,BBA,Data Analytics,2024,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,Marketing Intern at Amazon (4 Months),https://www.linkedin.com/in/isha-nair-235
Aarav Singh,XLRI Jamshedpur,BBA,Finance,2025,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/aarav-singh-291
Siddharth Joshi,SPJIMR Mumbai,BBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,HR Generalist Intern at Tata Consultancy Services (3 Months),https://www.linkedin.com/in/siddharth-joshi-621
Arjun Sharma,XLRI Jamshedpur,BBA,Data Analytics,2025,"Chennai, Tamil Nadu","SQL, Excel, Tableau, Data Cleaning, Python",None,Financial Analyst Intern at Amazon (4 Months),https://www.linkedin.com/in/arjun-sharma-779
Tanvi Nair,NMIMS Mumbai,MBA,Business Analytics,2027,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Business Analyst Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/tanvi-nair-736
Meera Chawla,Delhi University,BBA,Marketing,2026,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,HR Generalist Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/meera-chawla-838
Isha Das,FMS Delhi,MBA,Management Consulting,2025,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Marketing Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/isha-das-432
Arjun Sen,Delhi University,MBA,Management Consulting,2026,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Financial Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/arjun-sen-791
Vikram Sen,IIM Bangalore,MBA,Human Resources,2027,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,None,https://www.linkedin.com/in/vikram-sen-153
Pooja Kapoor,Christ University,MBA,Finance,2026,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/pooja-kapoor-966
Aarav Sen,IIM Ahmedabad,MBA,Finance,2025,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/aarav-sen-979
Aarav Joshi,Christ University,MBA,Operations & Supply Chain,2027,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/aarav-joshi-409
Kriti Das,Delhi University,MBA,Finance,2025,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Marketing Intern at KPMG (6 Months),https://www.linkedin.com/in/kriti-das-222
Siddharth Gupta,Symbiosis International University,MBA,Operations & Supply Chain,2026,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,None,https://www.linkedin.com/in/siddharth-gupta-282
Tanvi Singh,NMIMS Mumbai,MBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Financial Analyst Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/tanvi-singh-843
Aarav Mishra,Christ University,MBA,Business Analytics,2027,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Financial Analyst Intern at Amazon (2 Months),https://www.linkedin.com/in/aarav-mishra-405
Rohan Sharma,Delhi University,MBA,Operations & Supply Chain,2026,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Flipkart (5 Months),https://www.linkedin.com/in/rohan-sharma-626
Amit Kapoor,Christ University,MBA,Management Consulting,2027,Delhi NCR,"Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/amit-kapoor-641
Tanvi Gupta,IIM Ahmedabad,MBA,Operations & Supply Chain,2027,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at KPMG (3 Months),https://www.linkedin.com/in/tanvi-gupta-523
Riya Patel,Delhi University,BBA,Digital Marketing,2025,Delhi NCR,"Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,None,https://www.linkedin.com/in/riya-patel-201
Aditya Reddy,Christ University,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/aditya-reddy-963
Arjun Patel,IIM Bangalore,BBA,General Management,2024,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Financial Analyst Intern at Reliance Industries (2 Months),https://www.linkedin.com/in/arjun-patel-107
Diya Chawla,Delhi University,BBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at PwC (6 Months),https://www.linkedin.com/in/diya-chawla-122
Vikram Chawla,Symbiosis International University,MBA,Operations & Supply Chain,2027,"Pune, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Marketing Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/vikram-chawla-448
Amit Verma,Symbiosis International University,BBA,General Management,2027,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Operations Consultant Intern at Flipkart (5 Months),https://www.linkedin.com/in/amit-verma-835
Gaurav Reddy,IIM Ahmedabad,MBA,Marketing,2025,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Marketing Intern at Deloitte (4 Months),https://www.linkedin.com/in/gaurav-reddy-468
Siddharth Sen,FMS Delhi,MBA,Business Analytics,2024,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,None,https://www.linkedin.com/in/siddharth-sen-603
Isha Sen,Shaheed Sukhdev College of Business Studies,MBA,Management Consulting,2027,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at ICICI Bank (6 Months),https://www.linkedin.com/in/isha-sen-486
Meera Verma,Christ University,BBA,Data Analytics,2027,"Bengaluru, Karnataka","SQL, Excel, Tableau, Data Cleaning, Python",None,Financial Analyst Intern at Flipkart (3 Months),https://www.linkedin.com/in/meera-verma-851
Isha Verma,Delhi University,MBA,Management Consulting,2024,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Operations Consultant Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/isha-verma-172
Rohan Kapoor,FMS Delhi,BBA,Digital Marketing,2027,"Hyderabad, Telangana","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,None,https://www.linkedin.com/in/rohan-kapoor-332
Sneha Verma,Christ University,MBA,Management Consulting,2025,"Hyderabad, Telangana","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at KPMG (4 Months),https://www.linkedin.com/in/sneha-verma-780
Isha Das,Christ University,BBA,General Management,2027,"Mumbai, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),HR Generalist Intern at Flipkart (4 Months),https://www.linkedin.com/in/isha-das-894
Riya Gupta,IIM Ahmedabad,BBA,Data Analytics,2027,"Hyderabad, Telangana","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,HR Generalist Intern at Amazon (2 Months),https://www.linkedin.com/in/riya-gupta-366
Rohan Mehta,SPJIMR Mumbai,BBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/rohan-mehta-992
Vikram Chawla,IIM Bangalore,MBA,Business Analytics,2026,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Financial Analyst Intern at Amazon (2 Months),https://www.linkedin.com/in/vikram-chawla-953
